values (EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,);
values (PV,2014,FINAL,7,Reese,Watson,SO,Texas,5.50m,,,'1 (7)',,);
values (PV,2014,FINAL,7,Chris,Pillow,JR,Rice,5.50m,,,'1 (7)',,);
values (PV,2014,FINAL,9,Michael,Viken,SR,E. Illinois,5.50m,,,'1 (9)',,);
values (PV,2014,FINAL,10,Colton,Ross,SR,Stephen F. Austin,5.40m,,,'1 (10)',,);
values (PV,2014,FINAL,10,Pauls,Pujats,JR,Memphis,5.40m,,,'1 (10)',,);
values (PV,2014,FINAL,12,Adam,Bragg,SO,Princeton,5.40m,,,'1 (12)',,);
values (PV,2014,FINAL,13,Nikita,Kirillov,JR,Georgia Tech,5.40m,,,'1 (13)',,);
values (PV,2014,FINAL,14,Torben,Laidig,FR,Virginia Tech,5.40m,,,'1 (14)',,);
values (PV,2014,FINAL,14,Jax,Thoirs,SO,Washington,5.40m,,,'1 (14)',,);
values (PV,2014,FINAL,16,Stephan,Munz,SR,Virginia Tech,5.40m,,,'1 (16)',,);
values (PV,2014,FINAL,17,Dylan,Duvio,FR,Stanford,5.25m,,,'1 (17)',,);
values (PV,2014,FINAL,18,Austin,Crenshaw,SR,Memphis,5.25m,,,'1 (18)',,);
values (PV,2014,FINAL,19,Chase,Brannon,SR,Tennessee,5.10m,,,'1 (19)',,);
values (PV,2014,FINAL,19,Max,Babits,SR,Eastern Michigan,5.10m,,,'1 (19)',,);
values (PV,2014,FINAL,21,Michael,Vani,SR,UL-Lafayette,5.10m,,,'1 (21)',,);
values (PV,2014,FINAL,22,Matt,Sullivan,JR,Idaho,5.10m,,,'1 (22)',,);
values (PV,2014,FINAL,null,Andrew,Irwin,JR,Arkansas,NH,,,null,,);
values (PV,2014,FINAL,null,Michael,Mahnke,SR,Houston,NH,,,null,,);
values (SP,2014,,PLACE,FIRST NAME,LAST NAME,YEAR,TEAM,MARK,,,FLIGHT(PL),,);
values (SP,2014,PRELIM,1,Ryan,Crouser,JR,Texas,21.12m,,,'1 (1)',,);
values (SP,2014,PRELIM,2,Nick,Vena,JR,Georgia,20.16m,,,'1 (2)',,);
values (SP,2014,PRELIM,3,Stephen,Saenz,SR,Auburn,19.78m,,,'1 (3)',,);
values (SP,2014,PRELIM,4,Nicholas,Scarvelis,SO,UCLA,19.27m,,,'1 (4)',,);
values (SP,2014,PRELIM,5,Jonathan,Jones,JR,Buffalo,19.26m,,,'1 (5)',,);
values (SP,2014,PRELIM,6,Chad,Wright,SR,Nebraska,19.15m,,,'1 (6)',,);
values (SP,2014,PRELIM,7,Darrell,Hill,JR,Penn State,19.14m,,,'1 (7)',,);
values (SP,2014,PRELIM,8,Derek,Sievers,SO,Michigan,18.77m,,,'1 (8)',,);
values (SP,2014,PRELIM,9,Kole,Weldon,JR,Texas Tech,18.68m,,,'1 (9)',,);
values (SP,2014,PRELIM,10,Albert,Fournette,SR,UL-Lafayette,18.32m,,,'1 (10)',,);
values (SP,2014,PRELIM,11,Aaron,Castle,FR,Arizona,17.49m,,,'1 (11)',,);
values (SP,2014,PRELIM,12,Andrew,Akens,JR,UTSA,17.04m,,,'1 (12)',,);
values (SP,2014,,PLACE,FIRST NAME,LAST NAME,YEAR,TEAM,MARK,,,FLIGHT(PL),,);
values (SP,2014,PRELIM,1,Stephen,Mozia,JR,Cornell,20.46m,,,'2 (1)',,);
values (SP,2014,PRELIM,2,Richard,Garrett,SR,UTSA,20.14m,,,'2 (2)',,);
values (SP,2014,PRELIM,3,Stipe,Zunic,JR,Florida,19.67m,,,'2 (3)',,);
values (SP,2014,PRELIM,4,Filip,Mihaljevic,FR,Virginia,19.56m,,,'2 (4)',,);
values (SP,2014,PRELIM,5,Curtis,Jensen,SR,Illinois State,19.49m,,,'2 (5)',,);
values (SP,2014,PRELIM,6,Ryan,Hershberger,SR,Kansas State,19.29m,,,'2 (6)',,);
values (SP,2014,PRELIM,7,Kyle,Felpel,FR,Alabama,19.18m,,,'2 (7)',,);
values (SP,2014,PRELIM,8,Bobby,Grace,SR,Youngstown St,19.14m,,,'2 (8)',,);
values (SP,2014,PRELIM,9,Jan,Jeuschede,SO,Iowa State,18.75m,,,'2 (9)',,);
values (SP,2014,PRELIM,10,Matt,Babicz,JR,DePaul,18.29m,,,'2 (10)',,);
values (SP,2014,PRELIM,11,Josh,Freeman,SO,S. Illinois,18.11m,,,'2 (11)',,);
values (SP,2014,PRELIM,null,Antonio,James,JR,Michigan State,FOUL,,,null,,);
values (EVENT,SEASON,ROUND,PLACE,,,TEAM,TIME,TIME_DETAIL,REACTION TIME,WIND,SCORE,,EVENT,SEASON,ROUND,PLACE,NAME,YEAR,TEAM,TIME_DETAIL,TIME_DETAIL,SCORE,WIND);
values (110H,2014,FINAL,1,'Devon Allen',,Oregon,13.16,,,,10,,'110H',2014,'FINAL',1,'Devon Allen',,'Oregon',13.16,,10,0);
values (110H,2014,FINAL,2,'Aleec Harris',,Southern California,13.18,,,,8,,'110H',2014,'FINAL',2,'Aleec Harris',,'Southern California',13.18,,8,0);
values (110H,2014,FINAL,3,'Wayne Davis',,Jr.,13.24,,,,6,,'110H',2014,'FINAL',3,'Wayne Davis',,'Jr.',13.24,,6,0);
values (110H,2014,FINAL,4,'Greggmar Swift',,Indiana St.,13.35,,,,5,,'110H',2014,'FINAL',4,'Greggmar Swift',,'Indiana St.',13.35,,5,0);
