University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
University of Alabama at Birmingham,UAB,Womens Program,35-NCAA D-I,South (D1)-6,Conference USA,'University of Alabama at Birmingham','UAB','Womens Program','35-NCAA D-I','South (D1)-6','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Alabama at Birmingham','UAB','Womens Program','35-NCAA D-I','South (D1)-6','Conference USA');",
University of Arizona,Arizona,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'University of Arizona','Arizona','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Arizona','Arizona','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
"University of Arkansas, Fayetteville",Arkansas,Mens Program,35-NCAA D-I,South Central (D1)-7,Southeastern Conference,"'University of Arkansas, Fayetteville'",'Arkansas','Mens Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Arkansas, Fayetteville','Arkansas','Mens Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference');",
"University of Arkansas, Fayetteville",Arkansas,Womens Program,35-NCAA D-I,South Central (D1)-7,Southeastern Conference,"'University of Arkansas, Fayetteville'",'Arkansas','Womens Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Arkansas, Fayetteville','Arkansas','Womens Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference');",
"University of Arkansas, Little Rock",Arkansas-Little Rock,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,"'University of Arkansas, Little Rock'",'Arkansas-Little Rock','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Arkansas, Little Rock','Arkansas-Little Rock','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
"University of Arkansas, Pine Bluff",Arkansas Pine Bluff,MW Program,35-NCAA D-I,South Central (D1)-7,Southwestern Athletic Conference,"'University of Arkansas, Pine Bluff'",'Arkansas Pine Bluff','MW Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Arkansas, Pine Bluff','Arkansas Pine Bluff','MW Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference');",
"University of California, Berkeley",California,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,"'University of California, Berkeley'",'California','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Berkeley','California','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
"University of California, Davis",UC Davis,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'University of California, Davis'",'UC Davis','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Davis','UC Davis','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"University of California, Irvine",Irvine,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'University of California, Irvine'",'Irvine','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Irvine','Irvine','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"University of California, Los Angeles",UCLA,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,"'University of California, Los Angeles'",'UCLA','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Los Angeles','UCLA','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
"University of California, Riverside",Riverside,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'University of California, Riverside'",'Riverside','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Riverside','Riverside','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"University of California, San Diego",San Diego,Womens Program,35-NCAA D-I,West (D1),Big West Conference,"'University of California, San Diego'",'San Diego','Womens Program','35-NCAA D-I','West (D1)','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, San Diego','San Diego','Womens Program','35-NCAA D-I','West (D1)','Big West Conference');",
"University of California, Santa Barbara",Santa Barbara,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'University of California, Santa Barbara'",'Santa Barbara','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of California, Santa Barbara','Santa Barbara','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
University of Central Arkansas,Central Arkansas,MW Program,35-NCAA D-I,South Central (D1)-7,Southland Conference,'University of Central Arkansas','Central Arkansas','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Central Arkansas','Central Arkansas','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference');",
University of Central Florida,Central Florida,Womens Program,35-NCAA D-I,South (D1)-6,American Athletic Conference,'University of Central Florida','Central Florida','Womens Program','35-NCAA D-I','South (D1)-6','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Central Florida','Central Florida','Womens Program','35-NCAA D-I','South (D1)-6','American Athletic Conference');",
