University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
Abilene Christian University,Abilene Christian,MW Program,35-NCAA D-I,South Central (D1)-7,Western Athletic Conference,'Abilene Christian University','Abilene Christian','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Abilene Christian University','Abilene Christian','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference');",
Alabama A&M University,Alabama A&M,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alabama A&M University','Alabama A&M','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alabama A&M University','Alabama A&M','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
Alabama State University,Alabama State,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alabama State University','Alabama State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alabama State University','Alabama State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
Alcorn State University,Alcorn State,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alcorn State University','Alcorn State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alcorn State University','Alcorn State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
American University,American,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Patriot League,'American University','American','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('American University','American','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League');",
Appalachian State University,Appalachian State,MW Program,35-NCAA D-I,Southeast (D1)-8,Sun Belt Conference,'Appalachian State University','Appalachian State','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Appalachian State University','Appalachian State','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference');",
Arizona State University,Arizona State,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'Arizona State University','Arizona State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Arizona State University','Arizona State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
Arkansas State University,Arkansas State,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'Arkansas State University','Arkansas State','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Arkansas State University','Arkansas State','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
Auburn University,Auburn,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'Auburn University','Auburn','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Auburn University','Auburn','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
Austin Peay State University,Austin Peay State,Mens CC Womens Program,35-NCAA D-I,South (D1)-6,Ohio Valley Conference,'Austin Peay State University','Austin Peay State','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Austin Peay State University','Austin Peay State','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference');",
Ball State University,Ball State,Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'Ball State University','Ball State','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Ball State University','Ball State','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
Baylor University,Baylor,MW Program,35-NCAA D-I,South Central (D1)-7,Big 12 Conference,'Baylor University','Baylor','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Baylor University','Baylor','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference');",
Bellarmine University,Bellarmine,MW Program,35-NCAA D-I,Southeast (D1),Atlantic Sun Conference,'Bellarmine University','Bellarmine','MW Program','35-NCAA D-I','Southeast (D1)','Atlantic Sun Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bellarmine University','Bellarmine','MW Program','35-NCAA D-I','Southeast (D1)','Atlantic Sun Conference');",
Belmont University,Belmont,MW Program,35-NCAA D-I,South (D1)-6,Ohio Valley Conference,'Belmont University','Belmont','MW Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Belmont University','Belmont','MW Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference');",
Bethune-Cookman University,Bethune-Cookman,MW Program,35-NCAA D-I,South (D1)-6,Mid-Eastern Athletic Conference,'Bethune-Cookman University','Bethune-Cookman','MW Program','35-NCAA D-I','South (D1)-6','Mid-Eastern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bethune-Cookman University','Bethune-Cookman','MW Program','35-NCAA D-I','South (D1)-6','Mid-Eastern Athletic Conference');",
Binghamton University,Binghamton,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'Binghamton University','Binghamton','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Binghamton University','Binghamton','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
Boise State University,Boise State,MW Program,35-NCAA D-I,West (D1)-9,Mountain West Conference,'Boise State University','Boise State','MW Program','35-NCAA D-I','West (D1)-9','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Boise State University','Boise State','MW Program','35-NCAA D-I','West (D1)-9','Mountain West Conference');",
Boston College,Boston College,Womens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic Coast Conference,'Boston College','Boston College','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Boston College','Boston College','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic Coast Conference');",
Boston College,Boston College,Mens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic Coast Conference,'Boston College','Boston College','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Boston College','Boston College','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic Coast Conference');",
Boston University,Boston,MW Program,35-NCAA D-I,Northeast (D1)-5,Patriot League,'Boston University','Boston','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Boston University','Boston','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League');",
Bowling Green State University,Bowling Green,Mens CC Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'Bowling Green State University','Bowling Green','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bowling Green State University','Bowling Green','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
Bradley University,Bradley,MW Program,35-NCAA D-I,Midwest (D1)-3,Missouri Valley Conference,'Bradley University','Bradley','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bradley University','Bradley','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference');",
Brigham Young University,BYU,MW Program,35-NCAA D-I,Mountain (D1)-4,West Coast Conference,'Brigham Young University','BYU','MW Program','35-NCAA D-I','Mountain (D1)-4','West Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Brigham Young University','BYU','MW Program','35-NCAA D-I','Mountain (D1)-4','West Coast Conference');",
Brown University,Brown,MW Program,35-NCAA D-I,Northeast (D1)-5,Ivy League,'Brown University','Brown','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Brown University','Brown','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League');",
Bryant University,Bryant,MW Program,35-NCAA D-I,Northeast (D1)-5,Northeast Conference,'Bryant University','Bryant','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bryant University','Bryant','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference');",
Bucknell University,Bucknell,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Patriot League,'Bucknell University','Bucknell','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Bucknell University','Bucknell','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League');",
Butler University,Butler,MW Program,35-NCAA D-I,Great Lakes (D1)-1,BIG EAST Conference,'Butler University','Butler','MW Program','35-NCAA D-I','Great Lakes (D1)-1','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Butler University','Butler','MW Program','35-NCAA D-I','Great Lakes (D1)-1','BIG EAST Conference');",
California Baptist University,California Baptist,MW Program,35-NCAA D-I,West (D1),Western Athletic Conference,'California Baptist University','California Baptist','MW Program','35-NCAA D-I','West (D1)','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California Baptist University','California Baptist','MW Program','35-NCAA D-I','West (D1)','Western Athletic Conference');",
California Polytechnic State University,Cal Poly,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,'California Polytechnic State University','Cal Poly','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California Polytechnic State University','Cal Poly','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"California State University, Bakersfield",CSU Bakersfield,Mens CC Womens Program,35-NCAA D-I,West (D1)-9,Western Athletic Conference,"'California State University, Bakersfield'",'CSU Bakersfield','Mens CC Womens Program','35-NCAA D-I','West (D1)-9','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California State University, Bakersfield','CSU Bakersfield','Mens CC Womens Program','35-NCAA D-I','West (D1)-9','Western Athletic Conference');",
"California State University, Fresno",Fresno State,MW Program,35-NCAA D-I,West (D1)-9,Mountain West Conference,"'California State University, Fresno'",'Fresno State','MW Program','35-NCAA D-I','West (D1)-9','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California State University, Fresno','Fresno State','MW Program','35-NCAA D-I','West (D1)-9','Mountain West Conference');",
"California State University, Fullerton",Fullerton,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'California State University, Fullerton'",'Fullerton','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California State University, Fullerton','Fullerton','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"California State University, Northridge",Northridge,MW Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'California State University, Northridge'",'Northridge','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California State University, Northridge','Northridge','MW Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
"California State University, Sacramento",Sacramento State,MW Program,35-NCAA D-I,West (D1)-9,Big Sky Conference,"'California State University, Sacramento'",'Sacramento State','MW Program','35-NCAA D-I','West (D1)-9','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('California State University, Sacramento','Sacramento State','MW Program','35-NCAA D-I','West (D1)-9','Big Sky Conference');",
Campbell University,Campbell,MW Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,'Campbell University','Campbell','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Campbell University','Campbell','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
Canisius College,Canisius,MW Program,35-NCAA D-I,Northeast (D1)-5,Metro Atlantic Athletic Conference,'Canisius College','Canisius','MW Program','35-NCAA D-I','Northeast (D1)-5','Metro Atlantic Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Canisius College','Canisius','MW Program','35-NCAA D-I','Northeast (D1)-5','Metro Atlantic Athletic Conference');",
Central Connecticut State University,Central Connecticut,MW Program,35-NCAA D-I,Northeast (D1)-5,Northeast Conference,'Central Connecticut State University','Central Connecticut','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Central Connecticut State University','Central Connecticut','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference');",
Central Michigan University,Central Michigan,Mens CC Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'Central Michigan University','Central Michigan','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Central Michigan University','Central Michigan','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
Charleston Southern University,Charleston Southern,Womens Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,'Charleston Southern University','Charleston Southern','Womens Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Charleston Southern University','Charleston Southern','Womens Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
Charleston Southern University,Charleston Southern,Mens Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,'Charleston Southern University','Charleston Southern','Mens Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Charleston Southern University','Charleston Southern','Mens Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
Chicago State University,Chicago State,MW Program,35-NCAA D-I,Midwest (D1)-3,Western Athletic Conference,'Chicago State University','Chicago State','MW Program','35-NCAA D-I','Midwest (D1)-3','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Chicago State University','Chicago State','MW Program','35-NCAA D-I','Midwest (D1)-3','Western Athletic Conference');",
Clemson University,Clemson,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'Clemson University','Clemson','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Clemson University','Clemson','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
Cleveland State University,Cleveland State,Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'Cleveland State University','Cleveland State','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Cleveland State University','Cleveland State','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
Coastal Carolina University,Coastal Carolina,MW Program,35-NCAA D-I,Southeast (D1)-8,Sun Belt Conference,'Coastal Carolina University','Coastal Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Coastal Carolina University','Coastal Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference');",
Colgate University,Colgate,MW Program,35-NCAA D-I,Northeast (D1)-5,Patriot League,'Colgate University','Colgate','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Colgate University','Colgate','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League');",
College of Charleston (South Carolina),College of Charleston (South Carolina),Mens CC Womens Program,35-NCAA D-I,Southeast (D1)-8,Colonial Athletic Association,'College of Charleston (South Carolina)','College of Charleston (South Carolina)','Mens CC Womens Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('College of Charleston (South Carolina)','College of Charleston (South Carolina)','Mens CC Womens Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association');",
College of the Holy Cross,College of the Holy Cross,MW Program,35-NCAA D-I,Northeast (D1)-5,Patriot League,'College of the Holy Cross','College of the Holy Cross','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('College of the Holy Cross','College of the Holy Cross','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League');",
College of William and Mary,College of William and,MW Program,35-NCAA D-I,Southeast (D1)-8,Colonial Athletic Association,'College of William and Mary','College of William and','MW Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('College of William and Mary','College of William and','MW Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association');",
Colorado State University,Colorado State,MW Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'Colorado State University','Colorado State','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Colorado State University','Colorado State','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
Columbia University,Columbia,MW Program,35-NCAA D-I,Northeast (D1)-5,Ivy League,'Columbia University','Columbia','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Columbia University','Columbia','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League');",
Coppin State University,Coppin State,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Mid-Eastern Athletic Conference,'Coppin State University','Coppin State','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Coppin State University','Coppin State','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference');",
Cornell University,Cornell,Mens Program,35-NCAA D-I,Northeast (D1)-5,Ivy League,'Cornell University','Cornell','Mens Program','35-NCAA D-I','Northeast (D1)-5','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Cornell University','Cornell','Mens Program','35-NCAA D-I','Northeast (D1)-5','Ivy League');",
Creighton University,Creighton,MW CC,35-NCAA D-I,Midwest (D1)-3,BIG EAST Conference,'Creighton University','Creighton','MW CC','35-NCAA D-I','Midwest (D1)-3','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Creighton University','Creighton','MW CC','35-NCAA D-I','Midwest (D1)-3','BIG EAST Conference');",
Dartmouth College,Dartmouth,MW Program,35-NCAA D-I,Northeast (D1)-5,Ivy League,'Dartmouth College','Dartmouth','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Dartmouth College','Dartmouth','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League');",
Davidson College,Davidson,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic 10 Conference,'Davidson College','Davidson','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Davidson College','Davidson','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference');",
Delaware State University,Delaware State,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Mid-Eastern Athletic Conference,'Delaware State University','Delaware State','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Delaware State University','Delaware State','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference');",
DePaul University,DePaul,MW Program,35-NCAA D-I,Midwest (D1)-3,BIG EAST Conference,'DePaul University','DePaul','MW Program','35-NCAA D-I','Midwest (D1)-3','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('DePaul University','DePaul','MW Program','35-NCAA D-I','Midwest (D1)-3','BIG EAST Conference');",
Dixie State University,Dixie State,Mens CC Womens Program,35-NCAA D-I,Mountain (D1),Western Athletic Conference,'Dixie State University','Dixie State','Mens CC Womens Program','35-NCAA D-I','Mountain (D1)','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Dixie State University','Dixie State','Mens CC Womens Program','35-NCAA D-I','Mountain (D1)','Western Athletic Conference');",
Drake University,Drake,MW Program,35-NCAA D-I,Midwest (D1)-3,Missouri Valley Conference,'Drake University','Drake','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Drake University','Drake','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference');",
Duke University,Duke,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'Duke University','Duke','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Duke University','Duke','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
Duquesne University,Duquesne,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Atlantic 10 Conference,'Duquesne University','Duquesne','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Duquesne University','Duquesne','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Atlantic 10 Conference');",
East Carolina University,East Carolina,MW Program,35-NCAA D-I,Southeast (D1)-8,American Athletic Conference,'East Carolina University','East Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('East Carolina University','East Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','American Athletic Conference');",
East Tennessee State University,East Tennessee State,MW Program,35-NCAA D-I,South (D1)-6,Southern Conference,'East Tennessee State University','East Tennessee State','MW Program','35-NCAA D-I','South (D1)-6','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('East Tennessee State University','East Tennessee State','MW Program','35-NCAA D-I','South (D1)-6','Southern Conference');",
Eastern Illinois University,Eastern Illinois,MW Program,35-NCAA D-I,Midwest (D1)-3,Ohio Valley Conference,'Eastern Illinois University','Eastern Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Eastern Illinois University','Eastern Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','Ohio Valley Conference');",
Eastern Kentucky University,Eastern Kentucky,MW Program,35-NCAA D-I,Southeast (D1)-8,Ohio Valley Conference,'Eastern Kentucky University','Eastern Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Eastern Kentucky University','Eastern Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Ohio Valley Conference');",
Eastern Michigan University,Eastern Michigan,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'Eastern Michigan University','Eastern Michigan','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Eastern Michigan University','Eastern Michigan','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
Eastern Washington University,Eastern Washington,Womens Program,35-NCAA D-I,West (D1)-9,Big Sky Conference,'Eastern Washington University','Eastern Washington','Womens Program','35-NCAA D-I','West (D1)-9','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Eastern Washington University','Eastern Washington','Womens Program','35-NCAA D-I','West (D1)-9','Big Sky Conference');",
Eastern Washington University,Eastern Washington,Mens Program,35-NCAA D-I,West (D1)-9,Big Sky Conference,'Eastern Washington University','Eastern Washington','Mens Program','35-NCAA D-I','West (D1)-9','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Eastern Washington University','Eastern Washington','Mens Program','35-NCAA D-I','West (D1)-9','Big Sky Conference');",
Elon University,Elon,Mens CC Womens Program,35-NCAA D-I,Southeast (D1)-8,Colonial Athletic Association,'Elon University','Elon','Mens CC Womens Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Elon University','Elon','Mens CC Womens Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association');",
Fairfield University,Fairfield,MW CC,35-NCAA D-I,Northeast (D1)-5,Metro Atlantic Athletic Conference,'Fairfield University','Fairfield','MW CC','35-NCAA D-I','Northeast (D1)-5','Metro Atlantic Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Fairfield University','Fairfield','MW CC','35-NCAA D-I','Northeast (D1)-5','Metro Atlantic Athletic Conference');",
"Fairleigh Dickinson University, Metropolitan",Fairleigh Dickinson University,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Northeast Conference,"'Fairleigh Dickinson University, Metropolitan'",'Fairleigh Dickinson University','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Northeast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Fairleigh Dickinson University, Metropolitan','Fairleigh Dickinson University','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Northeast Conference');",
